Problem - C:\Koba\Science\UCON\Experiments-with-line-search\SparseSystems\Matrices\Kuu.mtx
CPU time: 197748
x[0   ]=218.392              x[1775]=351.704              x[3550]=67.2444              x[5325]=253.875              
x[1336]=144.534              x[3111]=105.13               x[4886]=118.396              x[6661]=84.588               
x[1337]=377.014              x[3112]=48.0934              x[4887]=271.305              x[6662]=37.6877              
x[1338]=142.504              x[3113]=104.936              x[4888]=118.315              x[6663]=84.6889              
x[1339]=374.744              x[3114]=47.2658              x[4889]=271.917              x[6664]=37.9954              
x[1340]=129.352              x[3115]=104.702              x[4890]=118.317              x[6665]=84.7099              
x[1341]=368.911              x[3116]=46.663               x[4891]=272.593              x[6666]=38.4835              
x[1342]=132.583              x[3117]=104.54               x[4892]=118.147              x[6667]=84.7805              
x[1343]=371.36               x[3118]=46.2508              x[4893]=273.211              x[6668]=39.1565              
x[1344]=135.524              x[3119]=104.428              x[4894]=118.079              x[6669]=84.8944              
x[1345]=373.413              x[3120]=45.7476              x[4895]=273.898              x[6670]=39.7697              
x[1346]=138.251              x[3121]=104.247              x[4896]=118.124              x[6671]=84.9461              
x[1347]=375.11               x[3122]=45.4163              x[4897]=274.661              x[6672]=40.6271              
x[1348]=140.665              x[3123]=104.116              x[4898]=118.027              x[6673]=85.0722              
x[1349]=376.424              x[3124]=45.2324              x[4899]=275.378              x[6674]=41.7507              
x[1350]=142.895              x[3125]=104.019              x[4900]=118.065              x[6675]=85.2764              
x[1351]=377.434              x[3126]=44.9217              x[4901]=276.179              x[6676]=42.9197              
x[1352]=144.961              x[3127]=103.839              x[4902]=118.249              x[6677]=85.4674              
x[1353]=378.179              x[3128]=44.7529              x[4903]=277.07               x[6678]=44.472               
x[1354]=146.745              x[3129]=103.7                x[4904]=118.327              x[6679]=85.8036              
x[1355]=378.623              x[3130]=44.706               x[4905]=277.932              x[6680]=46.4798              
x[1356]=148.377              x[3131]=103.587              x[4906]=118.577              x[6681]=86.3219              
x[1357]=378.843              x[3132]=44.5105              x[4907]=278.895              x[6682]=48.7913              
x[1358]=149.877              x[3133]=103.384              x[4908]=119.015              x[6683]=86.9789              
x[1359]=378.874              x[3134]=44.4377              x[4909]=279.967              x[6684]=51.8595              
x[1360]=151.126              x[3135]=103.217              x[4910]=119.393              x[6685]=88.0122              
x[1361]=378.679              x[3136]=44.4701              x[4911]=281.03               x[6686]=55.9219              
x[1362]=152.257              x[3137]=103.071              x[4912]=119.994              x[6687]=89.5744              
x[1363]=378.333              x[3138]=44.3389              x[4913]=282.217              x[6688]=61.1147              
x[1364]=153.288              x[3139]=102.831              x[4914]=120.838              x[6689]=91.811               
x[1365]=377.868              x[3140]=44.317               x[4915]=283.535              x[6690]=68.3102              
x[1366]=154.1                x[3141]=102.622              x[4916]=121.684              x[6691]=95.1964              
x[1367]=377.246              x[3142]=44.388               x[4917]=284.87               x[6692]=78.4591              
x[1368]=154.825              x[3143]=102.43               x[4918]=122.821              x[6693]=100.234              
x[1369]=376.539              x[3144]=44.2838              x[4919]=286.353              x[6694]=92.3928              
x[1370]=155.482              x[3145]=102.141              x[4920]=124.278              x[6695]=106.996              
x[1371]=375.777              x[3146]=44.2783              x[4921]=287.994              x[6696]=111.268              
x[1372]=155.951              x[3147]=101.879              x[4922]=125.819              x[6697]=115.314              
x[1373]=374.919              x[3148]=44.3552              x[4923]=289.678              x[6698]=135.418              
x[1374]=156.363              x[3149]=101.629              x[4924]=127.741              x[6699]=123.982              
x[1375]=374.035              x[3150]=44.2472              x[4925]=291.536              x[6700]=-31.5156             
x[1376]=156.738              x[3151]=101.278              x[4926]=130.08               x[6701]=46.2413              
x[1377]=373.151              x[3152]=44.228               x[4927]=293.573              x[6702]=-17.1804             
x[1378]=156.954              x[3153]=100.948              x[4928]=132.607              x[6703]=44.0174              
x[1379]=372.223              x[3154]=44.2817              x[4929]=295.668              x[6704]=-6.82382             
x[1380]=157.143              x[3155]=100.626              x[4930]=135.622              x[6705]=42.7957              
x[1381]=371.317              x[3156]=44.1405              x[4931]=297.944              x[6706]=0.651479             
x[1382]=157.322              x[3157]=100.197              x[4932]=139.163              x[6707]=42.5403              
x[1383]=370.457              x[3158]=44.078               x[4933]=300.395              x[6708]=5.64222              
x[1384]=157.369              x[3159]=99.7844              x[4934]=142.998              x[6709]=43.1358              
x[1385]=369.595              x[3160]=44.0779              x[4935]=302.882              x[6710]=9.50798              
x[1386]=157.414              x[3161]=99.3726              x[4936]=147.423              x[6711]=44.1727              
x[1387]=368.793              x[3162]=43.8719              x[4937]=305.508              x[6712]=12.6029              
x[1388]=157.474              x[3163]=98.8474              x[4938]=152.461              x[6713]=45.4933              
x[1389]=368.071              x[3164]=43.7329              x[4939]=308.241              x[6714]=14.8781              
x[1390]=157.425              x[3165]=98.331               x[4940]=157.867              x[6715]=46.734               
x[1391]=367.377              x[3166]=43.6435              x[4941]=310.917              x[6716]=16.8213              
x[1392]=157.395              x[3167]=97.8082              x[4942]=163.911              x[6717]=48.0368              
x[1393]=366.771              x[3168]=43.3344              x[4943]=313.603              x[6718]=18.5498              
x[1394]=157.398              x[3169]=97.1639              x[4944]=170.59               x[6719]=49.3649              
x[1395]=366.27               x[3170]=43.0771              x[4945]=316.238              x[6720]=19.7854              
x[1396]=157.312              x[3171]=96.5201              x[4946]=177.627              x[6721]=50.4899              
x[1397]=365.818              x[3172]=42.8524              x[4947]=318.623              x[6722]=20.9275              
x[1398]=157.261              x[3173]=95.8611              x[4948]=185.255              x[6723]=51.6093              
x[1399]=365.472              x[3174]=42.3889              x[4949]=320.799              x[6724]=22.0182              
x[1400]=157.259              x[3175]=95.0714              x[4950]=193.429              x[6725]=52.725               
x[1401]=365.245              x[3176]=41.9554              x[4951]=322.676              x[6726]=22.7366              
x[1402]=157.18               x[3177]=94.2727              x[4952]=201.829              x[6727]=53.6295              
x[1403]=365.081              x[3178]=41.5296              x[4953]=324.036              x[6728]=23.4523              
x[1404]=157.148              x[3179]=93.4492              x[4954]=210.623              x[6729]=54.5305              
x[1405]=365.034              x[3180]=40.8359              x[4955]=324.876              x[6730]=24.1869              
x[1406]=157.175              x[3181]=92.4853              x[4956]=219.736              x[6731]=55.4363              
x[1407]=365.113              x[3182]=40.1381              x[4957]=325.063              x[6732]=24.6045              
x[1408]=157.135              x[3183]=91.5032              x[4958]=9.06316              x[6733]=56.142               
x[1409]=365.259              x[3184]=39.4071              x[4959]=239.848              x[6734]=25.0637              
x[1410]=157.149              x[3185]=90.4877              x[4960]=20.6393              x[6735]=56.8567              
x[1411]=365.525              x[3186]=38.3594              x[4961]=242.057              x[6736]=25.5779              
x[1412]=157.229              x[3187]=89.3249              x[4962]=31.4311              x[6737]=57.5888              
x[1413]=365.919              x[3188]=37.2474              x[4963]=243.74               x[6738]=25.8047              
x[1414]=157.245              x[3189]=88.1392              x[4964]=41.4366              x[6739]=58.1332              
x[1415]=366.378              x[3190]=36.0279              x[4965]=245.04               x[6740]=26.0979              
x[1416]=157.32               x[3191]=86.9198              x[4966]=50.4145              x[6741]=58.6983              
x[1417]=366.951              x[3192]=34.3983              x[4967]=245.971              x[6742]=26.467               
x[1418]=157.462              x[3193]=85.5591              x[4968]=58.6619              x[6743]=59.2917              
x[1419]=367.645              x[3194]=32.5847              x[4969]=246.735              x[6744]=26.5665              
x[1420]=157.542              x[3195]=84.1919              x[4970]=66.194               x[6745]=59.7078              
x[1421]=368.394              x[3196]=30.5076              x[4971]=247.384              x[6746]=26.7479              
x[1422]=157.68               x[3197]=82.8234              x[4972]=72.7797              x[6747]=60.1539              
x[1423]=369.245              x[3198]=27.8147              x[4973]=247.855              x[6748]=27.0186              
x[1424]=157.883              x[3199]=81.3693              x[4974]=78.7407              x[6749]=60.6372              
x[1425]=370.2                x[3200]=24.6584              x[4975]=248.316              x[6750]=27.0315              
x[1426]=158.02               x[3201]=80.0011              x[4976]=84.1103              x[6751]=60.951               
x[1427]=371.19               x[3202]=20.8537              x[4977]=248.787              x[6752]=27.1369              
x[1428]=158.21               x[3203]=78.7775              x[4978]=88.6719              x[6753]=61.3023              
x[1429]=372.259              x[3204]=15.907               x[4979]=249.174              x[6754]=27.3412              
x[1430]=158.459              x[3205]=77.6787              x[4980]=92.7562              x[6755]=61.6975              
x[1431]=373.405              x[3206]=9.75219              x[4981]=249.622              x[6756]=27.2963              
x[1432]=158.633              x[3207]=76.9656              x[4982]=96.4009              x[6757]=61.9295              
x[1433]=374.556              x[3208]=1.96564              x[4983]=250.125              x[6758]=27.3518              
x[1434]=158.849              x[3209]=76.7299              x[4984]=99.3906              x[6759]=62.2046              
x[1435]=375.75               x[3210]=-8.19968             x[4985]=250.574              x[6760]=27.5136              
x[1436]=159.112              x[3211]=76.9116              x[4986]=102.053              x[6761]=62.5289              
x[1437]=376.982              x[3212]=-20.8935             x[4987]=251.095              x[6762]=27.433               
x[1438]=159.287              x[3213]=77.493               x[4988]=104.419              x[6763]=62.6946              
x[1439]=378.175              x[3214]=-36.5972             x[4989]=251.675              x[6764]=27.4595              
x[1440]=159.488              x[3215]=78.1422              x[4990]=106.266              x[6765]=62.9078              
x[1441]=379.364              x[3216]=167.957              x[4991]=252.195              x[6766]=27.5985              
x[1442]=159.716              x[3217]=169.022              x[4992]=107.911              x[6767]=63.174               
x[1443]=380.54               x[3218]=146.032              x[4993]=252.778              x[6768]=27.5014              
x[1444]=159.837              x[3219]=162.607              x[4994]=109.377              x[6769]=63.2853              
x[1445]=381.621              x[3220]=127.492              x[4995]=253.407              x[6770]=27.5174              
x[1446]=159.962              x[3221]=155.922              x[4996]=110.43               x[6771]=63.4472              
x[1447]=382.639              x[3222]=112.246              x[4997]=253.962              x[6772]=27.6519              
x[1448]=160.092              x[3223]=149.64               x[4998]=111.376              x[6773]=63.6651              
x[1449]=383.581              x[3224]=99.7427              x[4999]=254.569              x[6774]=27.5565              
x[1450]=160.089              x[3225]=143.938              x[5000]=112.229              x[6775]=63.7305              
x[1451]=384.363              x[3226]=89.982               x[5001]=255.211              x[6776]=27.5806              
x[1452]=160.066              x[3227]=139.301              x[5002]=112.746              x[6777]=63.8488              
x[1453]=385.015              x[3228]=82.464               x[5003]=255.772              x[6778]=27.7298              
x[1454]=160.02               x[3229]=135.688              x[5004]=113.225              x[6779]=64.0251              
x[1455]=385.52               x[3230]=76.3932              x[5005]=256.377              x[6780]=27.656               
x[1456]=159.815              x[3231]=132.795              x[5006]=113.673              x[6781]=64.0507              
x[1457]=385.794              x[3232]=71.7057              x[5007]=257.013              x[6782]=27.7091              
x[1458]=159.562              x[3233]=130.632              x[5008]=113.839              x[6783]=64.1308              
x[1459]=385.863              x[3234]=68.11                x[5009]=257.566              x[6784]=27.8956              
x[1460]=159.26               x[3235]=129.054              x[5010]=114.019              x[6785]=64.2703              
x[1461]=385.71               x[3236]=65.0164              x[5011]=258.163              x[6786]=27.8681              
x[1462]=158.77               x[3237]=127.723              x[5012]=114.213              x[6787]=64.2604              
x[1463]=385.249              x[3238]=62.6146              x[5013]=258.793              x[6788]=27.9775              
x[1464]=158.205              x[3239]=126.748              x[5014]=114.166              x[6789]=64.3063              
x[1465]=384.504              x[3240]=60.779               x[5015]=259.342              x[6790]=28.2316              
x[1466]=157.562              x[3241]=126.054              x[5016]=114.171              x[6791]=64.4128              
x[1467]=383.455              x[3242]=59.0634              x[5017]=259.941              x[6792]=28.2845              
x[1468]=156.704              x[3243]=125.381              x[5018]=114.223              x[6793]=64.3714              
x[1469]=382.011              x[3244]=57.7508              x[5019]=260.579              x[6794]=28.4893              
x[1470]=155.75               x[3245]=124.893              x[5020]=114.069              x[6795]=64.3876              
x[1471]=380.189              x[3246]=56.7872              x[5021]=261.144              x[6796]=28.8562              
x[1472]=154.733              x[3247]=124.56               x[5022]=113.996              x[6797]=64.4666              
x[1473]=377.994              x[3248]=55.7783              x[5023]=261.766              x[6798]=29.0427              
x[1474]=116.157              x[3249]=124.154              x[5024]=114.001              x[6799]=64.4008              
x[1475]=361.474              x[3250]=55.0438              x[5025]=262.436              x[6800]=29.4058              
x[1476]=120.266              x[3251]=123.862              x[5026]=113.827              x[6801]=64.3966              
x[1477]=363.979              x[3252]=54.5573              x[5027]=263.044              x[6802]=29.9612              
x[1478]=124.15               x[3253]=123.671              x[5028]=113.764              x[6803]=64.4614              
x[1479]=366.127              x[3254]=53.9454              x[5029]=263.72               x[6804]=30.3731              
x[1480]=127.783              x[3255]=123.367              x[5030]=113.808              x[6805]=64.3899              
x[1481]=367.913              x[3256]=53.5429              x[5031]=264.456              x[6806]=31.0079              
x[1482]=131.046              x[3257]=123.146              x[5032]=113.702              x[6807]=64.3927              
x[1483]=369.319              x[3258]=53.3353              x[5033]=265.142              x[6808]=31.894               
x[1484]=134.083              x[3259]=123.002              x[5034]=113.737              x[6809]=64.4829              
x[1485]=370.435              x[3260]=52.9584              x[5035]=265.91               x[6810]=32.7122              
x[1486]=136.897              x[3261]=122.725              x[5036]=113.911              x[6811]=64.4641              
x[1487]=371.282              x[3262]=52.7542              x[5037]=266.753              x[6812]=33.8531              
x[1488]=139.38               x[3263]=122.517              x[5038]=113.97               x[6813]=64.5607              
x[1489]=371.832              x[3264]=52.7138              x[5039]=267.563              x[6814]=35.3797              
x[1490]=141.674              x[3265]=122.374              x[5040]=114.207              x[6815]=64.8081              
x[1491]=372.173              x[3266]=52.4774              x[5041]=268.473              x[6816]=37.0256              
x[1492]=143.783              x[3267]=122.088              x[5042]=114.624              x[6817]=65.043               
x[1493]=372.321              x[3268]=52.3906              x[5043]=269.477              x[6818]=39.2591              
x[1494]=145.596              x[3269]=121.862              x[5044]=114.971              x[6819]=65.5482              
x[1495]=372.248              x[3270]=52.4472              x[5045]=270.469              x[6820]=42.2949              
x[1496]=147.256              x[3271]=121.694              x[5046]=115.546              x[6821]=66.462               
x[1497]=372.038              x[3272]=52.2898              x[5047]=271.583              x[6822]=46.0275              
x[1498]=148.765              x[3273]=121.377              x[5048]=116.356              x[6823]=67.7585              
x[1499]=371.704              x[3274]=52.2657              x[5049]=272.818              x[6824]=51.4381              
x[1500]=150.015              x[3275]=121.114              x[5050]=117.159              x[6825]=70.0592              
x[1501]=371.218              x[3276]=52.3703              x[5051]=274.068              x[6826]=59.156               
x[1502]=151.145              x[3277]=120.904              x[5052]=118.26               x[6827]=73.7277              
x[1503]=370.66               x[3278]=52.2472              x[5053]=275.47               x[6828]=71.2361              
x[1504]=152.16               x[3279]=120.539              x[5054]=119.674              x[6829]=80.2019              
x[1505]=370.041              x[3280]=52.2446              x[5055]=277.023              x[6830]=89.012               
x[1506]=152.949              x[3281]=120.223              x[5056]=121.167              x[6831]=88.8507              
x[1507]=369.329              x[3282]=52.3584              x[5057]=278.623              x[6832]=114.414              
x[1508]=153.655              x[3283]=119.954              x[5058]=123.054              x[6833]=99.5432              
x[1509]=368.602              x[3284]=52.2328              x[5059]=280.409              x[6834]=-26.1068             
x[1510]=154.279              x[3285]=119.525              x[5060]=125.359              x[6835]=30.4922              
x[1511]=367.868              x[3286]=52.2161              x[5061]=282.378              x[6836]=-12.8353             
x[1512]=154.714              x[3287]=119.14               x[5062]=127.859              x[6837]=27.6345              
x[1513]=367.09               x[3288]=52.3044              x[5063]=284.421              x[6838]=-4.74267             
x[1514]=155.099              x[3289]=118.795              x[5064]=130.873              x[6839]=26.235               
x[1515]=366.344              x[3290]=52.1416              x[5065]=286.672              x[6840]=0.241085             
x[1516]=155.437              x[3291]=118.285              x[5066]=134.433              x[6841]=26.5293              
x[1517]=365.633              x[3292]=52.0757              x[5067]=289.115              x[6842]=3.65034              
x[1518]=155.617              x[3293]=117.81               x[5068]=138.316              x[6843]=27.2632              
x[1519]=364.918              x[3294]=52.1024              x[5069]=291.631              x[6844]=6.20661              
x[1520]=155.78               x[3295]=117.371              x[5070]=142.839              x[6845]=28.3161              
x[1521]=364.27               x[3296]=51.865               x[5071]=294.329              x[6846]=8.30101              
x[1522]=155.926              x[3297]=116.757              x[5072]=148.024              x[6847]=29.4877              
x[1523]=363.689              x[3298]=51.7107              x[5073]=297.17               x[6848]=9.81781              
x[1524]=155.944              x[3299]=116.173              x[5074]=153.633              x[6849]=30.5593              
x[1525]=363.134              x[3300]=51.6339              x[5075]=300                  x[6850]=11.1326              
x[1526]=155.973              x[3301]=115.615              x[5076]=159.962              x[6851]=31.6145              
x[1527]=362.672              x[3302]=51.2765              x[5077]=302.896              x[6852]=12.3282              
x[1528]=156.011              x[3303]=114.875              x[5078]=167.003              x[6853]=32.6538              
x[1529]=362.301              x[3304]=50.9842              x[5079]=305.778              x[6854]=13.1651              
x[1530]=155.946              x[3305]=114.155              x[5080]=174.483              x[6855]=33.5389              
x[1531]=361.975              x[3306]=50.7492              x[5081]=308.455              x[6856]=13.9475              
x[1532]=155.914              x[3307]=113.453              x[5082]=182.658              x[6857]=34.3876              
x[1533]=361.759              x[3308]=50.2109              x[5083]=310.963              x[6858]=14.7163              
x[1534]=155.914              x[3309]=112.561              x[5084]=191.481              x[6859]=35.2199              
x[1535]=361.651              x[3310]=49.7116              x[5085]=313.188              x[6860]=15.2043              
x[1536]=155.83               x[3311]=111.68               x[5086]=200.631              x[6861]=35.9057              
x[1537]=361.6                x[3312]=49.2398              x[5087]=314.903              x[6862]=15.6981              
x[1538]=155.798              x[3313]=110.809              x[5088]=210.339              x[6863]=36.5669              
x[1539]=361.671              x[3314]=48.4301              x[5089]=316.1                x[6864]=16.2245              
x[1540]=155.814              x[3315]=109.739              x[5090]=220.468              x[6865]=37.2253              
x[1541]=361.857              x[3316]=47.6183              x[5091]=316.575              x[6866]=16.5072              
x[1542]=155.761              x[3317]=108.675              x[5092]=2.57121              x[6867]=37.7507              
x[1543]=362.107              x[3318]=46.785               x[5093]=228.113              x[6868]=16.8254              
x[1544]=155.774              x[3319]=107.616              x[5094]=14.8216              x[6869]=38.2647              
x[1545]=362.483              x[3320]=45.5549              x[5095]=230.165              x[6870]=17.2006              
x[1546]=155.848              x[3321]=106.356              x[5096]=26.1694              x[6871]=38.788               
x[1547]=362.977              x[3322]=44.2505              x[5097]=231.748              x[6872]=17.3522              
x[1548]=155.865              x[3323]=105.105              x[5098]=36.6132              x[6873]=39.1897              
x[1549]=363.535              x[3324]=42.8352              x[5099]=233.006              x[6874]=17.5561              
x[1550]=155.959              x[3325]=103.867              x[5100]=45.8652              x[6875]=39.5901              
x[1551]=364.217              x[3326]=40.9107              x[5101]=233.827              x[6876]=17.8313              
x[1552]=156.122              x[3327]=102.446              x[5102]=54.3179              x[6877]=40.0092              
x[1553]=365.01               x[3328]=38.7685              x[5103]=234.521              x[6878]=17.8951              
x[1554]=156.237              x[3329]=101.063              x[5104]=62.0168              x[6879]=40.3152              
x[1555]=365.861              x[3330]=36.3293              x[5105]=235.155              x[6880]=18.0218              
x[1556]=156.434              x[3331]=99.7439              x[5106]=68.6596              x[6881]=40.6274              
x[1557]=366.825              x[3332]=33.1396              x[5107]=235.581              x[6882]=18.229               
x[1558]=156.707              x[3333]=98.3164              x[5108]=74.6522              x[6883]=40.9653              
x[1559]=367.887              x[3334]=29.4089              x[5109]=236.046              x[6884]=18.2328              
x[1560]=156.936              x[3335]=97.0386              x[5110]=80.0505              x[6885]=41.1961              
x[1561]=368.989              x[3336]=24.9572              x[5111]=236.577              x[6886]=18.3068              
x[1562]=157.251              x[3337]=95.9738              x[5112]=84.562               x[6887]=41.439               
x[1563]=370.183              x[3338]=19.1864              x[5113]=236.991              x[6888]=18.4678              
x[1564]=157.643              x[3339]=95.0055              x[5114]=88.5985              x[6889]=41.7125              
x[1565]=371.451              x[3340]=12.1527              x[5115]=237.504              x[6890]=18.4314              
x[1566]=157.989              x[3341]=94.4071              x[5116]=92.217               x[6891]=41.8836              
x[1567]=372.729              x[3342]=3.50524              x[5117]=238.121              x[6892]=18.4706              
x[1568]=158.419              x[3343]=94.2317              x[5118]=95.1222              x[6893]=42.0709              
x[1569]=374.066              x[3344]=-7.45376             x[5119]=238.635              x[6894]=18.6019              
x[1570]=158.922              x[3345]=94.2088              x[5120]=97.7191              x[6895]=42.2927              
x[1571]=375.439              x[3346]=-20.7055             x[5121]=239.249              x[6896]=18.5405              
x[1572]=159.372              x[3347]=94.4442              x[5122]=100.055              x[6897]=42.4156              
x[1573]=376.78               x[3348]=-36.4738             x[5123]=239.958              x[6898]=18.5593              
x[1574]=159.896              x[3349]=94.6748              x[5124]=101.823              x[6899]=42.5576              
x[1575]=378.132              x[3350]=180.139              x[5125]=240.55               x[6900]=18.6744              
x[1576]=160.481              x[3351]=189.115              x[5126]=103.416              x[6901]=42.7369              
x[1577]=379.468              x[3352]=159.562              x[5127]=241.225              x[6902]=18.6011              
x[1578]=160.999              x[3353]=183.727              x[5128]=104.868              x[6903]=42.8197              
x[1579]=380.715              x[3354]=141.624              x[5129]=241.976              x[6904]=18.6119              
x[1580]=161.574              x[3355]=177.852              x[5130]=105.86               x[6905]=42.9239              
x[1581]=381.913              x[3356]=126.42               x[5131]=242.593              x[6906]=18.7234              
x[1582]=162.19               x[3357]=172.014              x[5132]=106.774              x[6907]=43.0673              
x[1583]=383.03               x[3358]=113.577              x[5133]=243.277              x[6908]=18.6506              
x[1584]=162.718              x[3359]=166.508              x[5134]=107.632              x[6909]=43.1158              
x[1585]=383.99               x[3360]=103.148              x[5135]=244.024              x[6910]=18.6663              
x[1586]=163.28               x[3361]=161.695              x[5136]=108.107              x[6911]=43.187               
x[1587]=384.83               x[3362]=94.8372              x[5137]=244.626              x[6912]=18.7871              
x[1588]=163.859              x[3363]=157.696              x[5138]=108.57               x[6913]=43.2986              
x[1589]=385.516              x[3364]=88.0203              x[5139]=245.288              x[6914]=18.7283              
x[1590]=164.324              x[3365]=154.366              x[5140]=109.039              x[6915]=43.3164              
x[1591]=385.97               x[3366]=82.6326              x[5141]=246.009              x[6916]=18.7632              
x[1592]=164.798              x[3367]=151.723              x[5142]=109.177              x[6917]=43.3576              
x[1593]=386.227              x[3368]=78.4053              x[5143]=246.582              x[6918]=18.9086              
x[1594]=165.262              x[3369]=149.667              x[5144]=109.352              x[6919]=43.4397              
x[1595]=386.251              x[3370]=74.8313              x[5145]=247.216              x[6920]=18.8805              
x[1596]=165.588              x[3371]=147.963              x[5146]=109.576              x[6921]=43.4284              
x[1597]=385.964              x[3372]=71.9991              x[5147]=247.909              x[6922]=18.9527              
x[1598]=165.898              x[3373]=146.629              x[5148]=109.508              x[6923]=43.4408              
x[1599]=385.4                x[3374]=69.786               x[5149]=248.459              x[6924]=19.1431              
x[1600]=166.176              x[3375]=145.602              x[5150]=109.513              x[6925]=43.4943              
x[1601]=384.52               x[3376]=67.8087              x[5151]=249.074              x[6926]=19.1685              
x[1602]=166.294              x[3377]=144.697              x[5152]=109.6                x[6927]=43.4543              
x[1603]=383.245              x[3378]=66.2523              x[5153]=249.756              x[6928]=19.3041              
x[1604]=166.357              x[3379]=143.979              x[5154]=109.427              x[6929]=43.4381              
x[1605]=381.599              x[3380]=65.0668              x[5155]=250.301              x[6930]=19.5695              
x[1606]=166.292              x[3381]=143.424              x[5156]=109.355              x[6931]=43.463               
x[1607]=379.543              x[3382]=63.9257              x[5157]=250.919              x[6932]=19.6836              
x[1608]=102.691              x[3383]=142.88               x[5158]=109.393              x[6933]=43.3948              
x[1609]=352.481              x[3384]=63.055               x[5159]=251.613              x[6934]=19.9243              
x[1610]=107.731              x[3385]=142.437              x[5160]=109.199              x[6935]=43.3509              
x[1611]=354.977              x[3386]=62.436               x[5161]=252.181              x[6936]=20.3144              
x[1612]=112.526              x[3387]=142.091              x[5162]=109.133              x[6937]=43.3493              
x[1613]=357.117              x[3388]=61.7666              x[5163]=252.832              x[6938]=20.5774              
x[1614]=117.052              x[3389]=141.704              x[5164]=109.205              x[6939]=43.2567              
x[1615]=358.961              x[3390]=61.2903              x[5165]=253.571              x[6940]=20.9971              
x[1616]=121.107              x[3391]=141.378              x[5166]=109.072              x[6941]=43.1922              
x[1617]=360.41               x[3392]=61.0027              x[5167]=254.196              x[6942]=21.6042              
x[1618]=124.909              x[3393]=141.117              x[5168]=109.097              x[6943]=43.1764              
x[1619]=361.596              x[3394]=60.6126              x[5169]=254.919              x[6944]=22.1328              
x[1620]=128.472              x[3395]=140.789              x[5170]=109.289              x[6945]=43.0801              
x[1621]=362.542              x[3396]=60.3719              x[5171]=255.744              x[6946]=22.8814              
x[1622]=131.605              x[3397]=140.502              x[5172]=109.31               x[6947]=43.0289              
x[1623]=363.162              x[3398]=60.2829              x[5173]=256.472              x[6948]=23.9033              
x[1624]=134.524              x[3399]=140.263              x[5174]=109.525              x[6949]=43.0548              
x[1625]=363.593              x[3400]=60.0597              x[5175]=257.315              x[6950]=24.9627              
x[1626]=137.244              x[3401]=139.944              x[5176]=109.947              x[6951]=43.0462              
x[1627]=363.86               x[3402]=59.9587              x[5177]=258.279              x[6952]=26.4074              
x[1628]=139.571              x[3403]=139.654              x[5178]=110.241              x[6953]=43.159               
x[1629]=363.875              x[3404]=59.9855              x[5179]=259.168              x[6954]=28.3696              
x[1630]=141.723              x[3405]=139.403              x[5180]=110.778              x[6955]=43.4843              
x[1631]=363.775              x[3406]=59.8568              x[5181]=260.195              x[6956]=30.7591              
x[1632]=143.714              x[3407]=139.064              x[5182]=111.577              x[6957]=44.0078              
x[1633]=363.581              x[3408]=59.8312              x[5183]=261.371              x[6958]=34.1866              
x[1634]=145.35               x[3409]=138.745              x[5184]=112.309              x[6959]=45.1038              
x[1635]=363.204              x[3410]=59.9161              x[5185]=262.499              x[6960]=39.5111              
x[1636]=146.851              x[3411]=138.458              x[5186]=113.355              x[6961]=47.3939              
x[1637]=362.775              x[3412]=59.8297              x[5187]=263.799              x[6962]=47.3516              
x[1638]=148.228              x[3413]=138.076              x[5188]=114.741              x[6963]=51.347               
x[1639]=362.315              x[3414]=59.8314              x[5189]=265.283              x[6964]=62.4524              
x[1640]=149.291              x[3415]=137.708              x[5190]=116.15               x[6965]=60.0158              
x[1641]=361.731              x[3416]=59.9294              x[5191]=266.757              x[6966]=88.8052              
x[1642]=150.257              x[3417]=137.366              x[5192]=117.973              x[6967]=72.0668              
x[1643]=361.15               x[3418]=59.8425              x[5193]=268.442              x[6968]=-16.8675             
x[1644]=151.142              x[3419]=136.921              x[5194]=120.248              x[6969]=15.5165              
x[1645]=360.588              x[3420]=59.8304              x[5195]=270.351              x[6970]=-6.57171             
x[1646]=151.751              x[3421]=136.485              x[5196]=122.67               x[6971]=11.8973              
x[1647]=359.948              x[3422]=59.9013              x[5197]=272.291              x[6972]=-2.42784             
x[1648]=152.306              x[3423]=136.066              x[5198]=125.639              x[6973]=11.524               
x[1649]=359.354              x[3424]=59.7738              x[5199]=274.479              x[6974]=0.109155             
x[1650]=152.818              x[3425]=135.539              x[5200]=129.206              x[6975]=12.0866              
x[1651]=358.819              x[3426]=59.7074              x[5201]=276.919              x[6976]=1.71028              
x[1652]=153.095              x[3427]=135.013              x[5202]=133.072              x[6977]=12.7773              
x[1653]=358.243              x[3428]=59.7097              x[5203]=279.406              x[6978]=2.97905              
x[1654]=153.355              x[3429]=134.497              x[5204]=137.637              x[6979]=13.5334              
x[1655]=357.745              x[3430]=59.4985              x[5205]=282.137              x[6980]=4.0649               
x[1656]=153.609              x[3431]=133.865              x[5206]=142.949              x[6981]=14.3149              
x[1657]=357.335              x[3432]=59.3324              x[5207]=285.092              x[6982]=4.81747              
x[1658]=153.664              x[3433]=133.225              x[5208]=148.696              x[6983]=14.9661              
x[1659]=356.909              x[3434]=59.2176              x[5209]=288.03               x[6984]=5.48844              
x[1660]=153.737              x[3435]=132.589              x[5210]=155.258              x[6985]=15.5852              
x[1661]=356.586              x[3436]=58.8704              x[5211]=291.109              x[6986]=6.13222              
